type,K,T1,T2,Td,zeta,omega_n,sprunghoehe_target,sprungzeit_target,Ks,Tu,Tg,method,sprunghoehe_actual,sprungzeit_actual,Kp,Ki,Kd
PT2,1.2978505428153604,48.87926843899936,43.7736202815382,,,,1.98,29.8,1.98,13.020901361140695,53.38108346372554,CHR,1.98,70.0,1.2423169064450654,0.023272605684170247,8.088042949049324
PT1,2.7095276706822005,22.180626243690885,,,,,1.54,17.9,1.54,0.1,14.275761188184676,CHR,1.54,46.6,55.61984878513509,3.896103896103895,2.780992439256755
PT1,2.7494414195661854,0.11010534575446042,,,,,0.71,11.1,0.7099999999999999,0.1,0.23601662990470182,CHR,0.7099999999999999,0.20000000000000004,1.9945067315890297,8.450704225352114,0.0997253365794515
PT2+Td,1.9205136315051363,15.902619715864512,46.24227605544188,0.38123095355424996,,,0.97,2.8,0.97,7.403255081491494,76.15034617704049,ZN,0.97,68.4,12.72502605817106,0.8594210194097094,47.1033069136333
PT2,1.8261316643340333,3.8681043445677803,34.709699463404334,,,,0.63,29.4,0.63,2.42424052292541,70.3823936626867,CHR,0.63,61.7,27.65024776767297,0.3928574509725971,33.51542555366033
D,2.371303736835954,4.908040467121349,,,,,0.93,21.6,0.9299999999999999,0.1,inf,ZN,0.9299999999999999,0.0,inf,inf,inf
PT1,2.3323540138039593,34.13084106696165,,,,,1.78,16.1,1.78,0.1,18.174254319149792,CHR,1.78,61.800000000000004,61.26153141286446,3.370786516853932,3.0630765706432235
PT2,1.013236569879902,22.278661511236116,38.71558382802919,,,,1.69,4.9,1.69,8.112627470472017,48.659499896341224,CHR,1.69,68.3,2.129465719491547,0.043762589505192684,8.637781046687792
PT1,2.436980564747138,31.80366306163599,,,,,0.68,4.6,0.68,0.1,44.81846144342618,CHR,0.68,59.6,395.4570127361133,8.823529411764705,19.772850636805664
PT1,2.4709657744250846,40.46551280059445,,,,,1.74,15.1,1.74,0.1,21.312822515196878,ZN,1.74,66.39999999999999,146.98498286342672,734.9249143171336,7.3492491431713365
D,0.7152795839988573,3.273507624904194,,,,,1.25,8.6,1.25,0.1,-inf,ZN,1.25,0.0,-inf,-inf,-inf
PT1+Td,2.56312137913167,27.980312223890145,,3.8343545201435236,,,0.78,21.2,0.78,3.7998213031134935,38.63972862566421,ZN,0.78,54.4,15.644350511553563,2.058563977565854,29.72286817358785
PT2,1.898483013948496,46.5774241170524,10.466954469856379,,,,1.15,27.7,1.15,5.40254136783626,58.407336464431445,ZN,1.15,67.9,11.28113266078292,1.04405796204954,30.473392937964235
PT1,1.0177141797727345,47.596111483437,,,,,1.63,16.6,1.63,0.1,25.64735991613886,CHR,1.63,69.89999999999999,94.40745981400806,3.680981595092024,4.720372990700404
PT1,1.151264509130046,12.365820469104515,,,,,1.65,8.4,1.65,0.1,7.522447329294391,CHR,1.65,27.1,27.354353924706874,3.6363636363636362,1.3677176962353441
PT2+Td,2.543927411236966,48.46247793558215,44.66279669852124,2.5143981766520898,,,1.51,11.8,1.51,15.600950700778029,67.4225685108187,ZN,1.51,68.2,3.4344605130377333,0.11007215454076316,26.790424573835246
Osc2,2.384122389943348,,,,0.8761576308458825,0.4113458476570421,1.16,15.8,1.16,0.7308606697847748,5.961448491055426,ZN,1.16,6.8,8.43801826443642,5.772658601892796,3.0835078402010825
Osc2,2.067807597458489,,,,0.6046434017000495,0.4530971727727632,1.55,7.8,1.55,0.7789877360857935,3.646571208007817,ZN,1.55,4.200000000000001,3.62412881768766,2.3261783528826423,1.4115759514868969
PT1+Td,2.942743360236406,37.83737625323212,,3.5215676983697457,,,1.36,24.1,1.36,3.4998678556077416,29.212042613560023,ZN,1.36,63.3,7.3646585474785775,1.0521338020917546,12.887665858923539
PT1,2.4516406808795095,26.20997216297305,,,,,1.97,7.8,1.97,0.1,13.035167393901798,CHR,1.97,52.9,39.701017443355724,3.045685279187817,1.9850508721677864
PT2,2.419241927553508,31.103480618860214,34.21935142634377,,,,1.89,14.5,1.89,9.185395524975394,47.19422025298908,CHR,1.89,68.9,1.6310992926835552,0.034561420528613315,7.491146071903029
PT1,0.8096954536739915,12.616877943444466,,,,,1.24,21.2,1.24,0.1,10.211557596170376,ZN,1.24,27.700000000000003,98.82152512422944,494.10762562114706,4.941076256211471
PT2,1.9361551583663008,21.926873390706373,7.547374881804478,,,,1.22,5.2,1.22,3.3700141735838276,34.324267042307085,CHR,1.22,49.800000000000004,5.0091145616860375,0.14593507723011098,8.440393534993545
PT1+Td,0.6037383120482471,12.414546644656896,,2.8745797633426133,,,1.19,13.9,1.19,2.799597248847804,13.312031119468104,CHR,1.19,27.200000000000003,2.397469302543328,0.18009793404382612,3.355974231798682
PT2,2.639506187931744,13.13632917857212,29.50230074695113,,,,1.02,19.3,1.02,5.31776700885497,57.33537440289724,ZN,1.02,61.60000000000001,12.684531221120857,1.1926557895446523,33.72669082523367
PT2+Td,2.694835418374131,17.615404695557363,10.308238498928656,3.079688898835969,,,1.66,14.8,1.66,6.726603140268541,29.104840326483725,ZN,1.66,46.2,3.127825913134866,0.23249668873805424,10.519821804753155
Osc2,2.851071801085608,,,,0.7122924772092578,1.0658953398429092,1.82,3.7,1.82,0.30813772246297433,1.4468142259948742,CHR,1.82,2.1,1.5479173372314572,1.0698798155423592,0.2384858614277265
PT1+Td,1.1156799309945322,45.21553145475888,,2.2345274022169863,,,1.7,28.8,1.7,2.1998894185736386,25.784335294269134,CHR,1.7,67.8,4.136732308650284,0.16043587168096285,4.550176816635729
D,2.212562578854074,4.413465399766382,,,,,0.7,10.1,0.7,0.1,675539944105609.4,CHR,0.7,0.0,5790342378048080.0,8.571428571428571,289517118902404.06
PT1+Td,2.6490387379738345,19.07135473710598,,4.00928193122981,,,1.82,4.2,1.82,3.999737827301042,14.464562177061413,ZN,1.82,40.900000000000006,2.3844247734939907,0.2980726333134392,4.768536981448817
PT1,1.5482603510356947,43.08563461032729,,,,,1.21,25.1,1.21,0.1,32.14114215490941,ZN,1.21,67.80000000000001,318.7551288090189,1593.7756440450946,15.937756440450947
D,1.026621444814717,2.678184528666667,,,,,0.65,10.9,0.65,0.1,inf,ZN,0.65,0.0,inf,inf,inf
Osc2,2.6255522157445608,,,,0.5131114727780723,1.1952795986842992,1.32,26.3,1.32,0.3123391196523225,1.489783461615652,CHR,1.32,1.4000000000000001,2.1680739239073787,1.4552946651428988,0.3385871503671936
PT2+Td,1.9245652278977348,30.23858845061152,33.896813844470365,4.356049853929843,,,1.44,16.8,1.44,13.311717621135216,61.59352700795514,CHR,1.44,66.2,1.9279232265189354,0.031300744090688844,12.831984793323988
PT1+Td,1.4352816051730768,2.653843796880509,,2.816041434026929,,,1.92,27.8,1.92,2.798116163251052,4.233063932920345,CHR,1.92,5.9,0.4727582422813519,0.11168228256718087,0.661416239518804
PT2+Td,1.6749680259505983,12.81573291982864,31.512853582829933,0.277401327267214,,,1.14,23.2,1.14,5.575235612730673,53.15871533818616,ZN,1.14,62.599999999999994,10.036623803570853,0.900107591924268,27.978271230624298
PT2+Td,0.668227847037401,8.095178624746623,39.966469078332835,3.9517127794807005,,,1.46,5.5,1.46,8.214720255790324,44.6186279642,ZN,1.46,63.50000000000001,4.464284085174117,0.27172465684557967,18.336422451041095
PT2,0.9436977799805619,23.736247918402206,28.05662684577587,,,,0.65,5.2,0.65,7.256905250750862,104.29938556041259,CHR,0.65,66.0,13.2668613651746,0.1271998036603018,48.13817795095965
PT1+Td,0.7723132014963547,27.678988686744916,,4.573490153721927,,,0.87,15.3,0.8699999999999999,4.499819357758407,35.412797799511615,CHR,0.8699999999999999,53.900000000000006,5.427466578179073,0.1532628573688669,12.21130958603849
Osc2,1.1186530784737665,,,,0.8712141876337383,1.6258638759444355,0.65,4.0,0.65,0.18242269171766695,2.5525291198645887,ZN,0.65,1.7000000000000002,25.83210130103199,70.80287287124337,2.356180726028851
Osc2,2.1844938259417344,,,,0.7490843037484073,1.5594940761070875,0.96,10.3,0.96,0.2054089579653559,1.726342040276375,ZN,0.96,1.4,10.505518219460628,25.572200753855338,1.0789637751727343
PT1,2.869778278271194,29.079559306771127,,,,,1.91,25.0,1.91,0.1,14.759818375098499,CHR,1.91,56.6,46.36592159716806,3.1413612565445024,2.318296079858403
PT1+Td,2.119605932525406,12.428748252162944,,2.754954104618552,,,0.91,29.2,0.91,2.6995977090431444,16.46222125995496,ZN,0.91,27.2,8.041355038486627,1.4893617318516754,10.854211819750523
D,1.2113723088759474,3.6937992883742736,,,,,1.05,10.9,1.05,0.1,-inf,CHR,1.05,0.0,-inf,5.7142857142857135,-inf
PT2,2.498072237363924,44.11140725322154,8.267465833710544,,,,0.76,28.4,0.76,4.510004093937582,78.99599900393693,ZN,0.76,67.0,27.65641053646116,3.0661181187881117,62.365262371529155
PT1,0.98556610398102,39.90608316838482,,,,,0.76,5.3,0.76,0.1,48.27285117436162,CHR,0.76,66.0,381.1014566396969,7.894736842105262,19.055072831984848
Osc2,1.5917390742999342,,,,0.5870242259914957,1.1139943012119327,0.88,20.0,0.88,0.3184276167388299,2.347351095581125,ZN,0.88,1.6,10.05231061595214,15.784294589305222,1.6004666560780396
D,1.6401136098320364,3.314353495172457,,,,,1.02,23.3,1.02,0.1,-inf,CHR,1.02,0.0,-inf,5.88235294117647,-inf
Osc2,0.7947914162863036,,,,0.8038476088940216,1.6099940912352428,1.18,9.5,1.18,0.19187726849783904,1.443765053339375,CHR,1.18,1.5,3.825975997465033,2.649999034549072,0.3670589118659428
Osc2,2.805483418858948,,,,0.8001770995843278,0.6721205571411067,0.75,25.7,0.75,0.4663641921680515,5.149132369180131,ZN,0.75,3.7,17.665618263675515,18.939724104407464,4.119305895344104
